FID,Eastings,Northings,LST,NDVI,NDMI
135,664496.1361,1406243.292,32.8408012,0.119358,-0.113758
136,664338.5432,1406315.226,32.9099007,0.213042,-0.0870242
137,664448.8867,1406296.123,33.1509018,0.127494,-0.112114
138,661752.4212,1402616.698,30.3027992,0.155823,-0.0843301
139,661739.4742,1402759.99,27.4834995,0.0976845,0.218056
140,662003.5402,1402576.042,31.9916,0.0930319,-0.0858648
141,661750.6389,1402554.859,30.9664993,0.293582,-0.0349176
142,661996.0183,1402787.694,31.9377003,0.0408579,-0.149862
143,662306.253,1402671.817,33.0060997,0.0347911,-0.166448
144,661805.273,1402788.931,29.052,0.167712,-0.103346
145,661846.9229,1402802.822,30.5828991,0.206831,-0.0489896
146,663248.0782,1403718.22,32.1464005,0.196351,-0.0722727
147,663261.2852,1403637.626,31.6401997,0.154637,-0.0798143
148,663345.4201,1403753.275,32.0564003,0.272334,0.0012374
149,663260.5228,1403764.544,32.240799,0.117147,-0.141598
150,663294.9175,1403583.048,31.5184002,0.195497,-0.055357
151,662099.6059,1402614.839,32.2318001,0.136791,-0.0685869
152,663292.6918,1403675.917,31.5725002,0.17436,-0.0869169
153,663310.9636,1403638.217,31.5002003,0.121678,0.0261937
154,659064.3894,1410825.106,33.6088982,0.133007,-0.174591
155,659106.7196,1410977.284,33.7066002,0.148877,-0.163567
156,658957.4333,1410709.445,32.6058998,0.14093,-0.162827
157,659116.9706,1410712.807,32.3507004,0.168004,-0.160637
158,659101.6196,1411052.677,33.3955994,0.204726,-0.146606
159,659209.7686,1411168.732,32.9880981,0.108717,-0.162689
160,659146.4165,1410939.737,33.4757004,0.101402,-0.148815
161,659146.4576,1410997.586,33.3754997,0.148307,-0.0993359
162,658060.9947,1409683.636,30.8736,0.131314,-0.146523
163,657947.1165,1409804.504,32.8988991,0.109184,-0.157487
164,657818.2304,1409635.292,31.5611992,0.141959,-0.0631483
165,657929.4208,1409642.412,30.0930996,0.0949435,-0.10721
166,658928.9456,1410830.091,32.9524002,0.0894948,-0.128192
167,658937.014,1410750.857,32.589901,0.226672,0.0173083
168,657843.6701,1409846.206,33.0662003,0.102091,-0.147007
169,657870.6634,1409893.052,32.8744011,0.127509,-0.123799
170,656739.4966,1408955.471,33.1264,0.137366,-0.128467
171,658350.0368,1410370.228,32.9882011,0.112213,-0.147323
172,656836.5324,1408774.677,32.9412003,0.0916562,-0.139021
173,656806.9898,1408889.724,33.3666992,0.135789,-0.200335
174,657818.8486,1409723.459,32.2765999,0.221761,-0.101529
175,657844.5897,1409649.407,31.2541008,0.151436,-0.0975269
176,657608.1996,1409688.103,33.4757996,0.0476276,-0.105485
177,657773.5112,1409855.325,33.2913017,0.0977633,-0.126008
178,656786.6558,1408632.476,32.1263008,0.212255,-0.0391952
179,656896.8871,1408596.604,32.7468987,0.160359,-0.117254
180,656592.443,1408802.633,33.4310989,0.13275,-0.121476
181,656642.1708,1408714.665,32.5231018,0.137523,-0.0698772
182,657073.2887,1408749.42,33.3266983,0.0830203,-0.177372
183,656909.4975,1408786.317,33.3067017,0.139261,-0.155144
184,656961.091,1408556.447,32.8070984,0.193657,-0.0735036
185,657167.4532,1408616.732,30.4874001,0.150111,-0.126281
186,655644.3574,1406723.7,31.6040993,0.130258,-0.0844599
187,655556.0024,1406658.171,32.6127014,0.14417,-0.158041
188,655608.1198,1406864.303,32.6954002,0.117106,-0.145671
189,655755.1898,1406786.125,31.1590004,0.144909,-0.121976
190,655562.3225,1406900.112,33.3911018,0.159621,-0.103409
191,656657.5609,1408897.826,33.0416985,0.127811,-0.140615
192,655522.608,1406742.027,33.4177017,0.201915,-0.0988176
193,655526.609,1406801.709,33.3422012,0.163849,-0.0996675
194,666066.3277,1408834.245,31.3262005,0.218263,-0.028228
195,655822.2326,1407433.831,33.7131004,0.167641,-0.182351
196,666313.1412,1408606.905,31.9712009,0.200248,-0.0069126
197,665948.3483,1409970.574,31.2182007,0.052671,-0.0533169
198,655930.8671,1407424.49,32.1240005,0.318591,-0.0746042
199,655905.3201,1407482.604,31.9689999,0.192949,-0.0647999
200,655787.3882,1407348.465,34.0786018,0.1234,-0.177105
201,655917.9918,1407362.868,32.4673004,0.18375,-0.138224
202,665669.4493,1409150.155,30.6553001,0.196686,0.0139996
203,665618.1408,1408921.168,31.2947006,0.237699,-0.0013118
204,665925.9438,1409104.821,30.7870007,0.330559,0.0201396
205,665900.1621,1409200.044,30.7147007,0.113973,0.0053871
