FID,Eastings,Northings,No_of_Larv,LST,NDVI,NDMI
154,659064.3894,1410825.106,71,28.2367001,0.291594,-0.0203723
155,659106.7196,1410977.284,84,27.9650993,0.280408,-0.0375824
156,658957.4333,1410709.445,89,26.9032993,0.201072,-0.098462
157,659116.9706,1410712.807,102,24.4050999,-0.0201385,0.205108
158,659101.6196,1411052.677,128,28.2411995,0.27631,-0.0688784
159,659209.7686,1411168.732,5,28.6462002,0.28866,-0.0647913
160,659146.4165,1410939.737,188,27.1912994,0.260995,0.026602
161,659146.4576,1410997.586,235,27.3803997,0.417171,0.0782876
162,658060.9947,1409683.636,74,23.3904991,-0.0895569,-0.0173913
163,657947.1165,1409804.504,54,27.7558002,0.2523,-0.0848203
164,657818.2304,1409635.292,88,25.4484997,0.174444,-0.0515931
165,657929.4208,1409642.412,56,23.5231991,-0.109424,0.0140439
166,658928.9456,1410830.091,68,28.5121002,0.299264,-0.0530393
167,658937.014,1410750.857,159,27.2050991,0.452622,0.110018
168,657843.6701,1409846.206,202,27.7210007,0.244608,-0.0519517
169,657870.6634,1409893.052,156,28.1718006,0.195808,-0.0610654
170,656739.4966,1408955.471,62,26.5725994,0.168666,-0.103708
171,658350.0368,1410370.228,49,29.4132004,0.171714,-0.11475
172,656836.5324,1408774.677,49,26.7626991,0.17489,-0.0790746
173,656806.9898,1408889.724,66,27.5205994,0.202294,-0.121393
174,657818.8486,1409723.459,189,26.6711998,0.219886,-0.0944562
175,657844.5897,1409649.407,286,25.1968002,0.215101,-0.0674298
176,657608.1996,1409688.103,64,27.5930004,0.359685,-0.0114355
177,657773.5112,1409855.325,67,27.4554005,0.169378,-0.0755483
178,656786.6558,1408632.476,72,25.7542,0.284121,-0.0648228
179,656896.8871,1408596.604,84,25.7730007,0.378029,-0.0121773
180,656592.443,1408802.633,51,25.7775993,0.400683,0.0618523
181,656642.1708,1408714.665,46,25.2535992,0.397899,0.0376399
182,657073.2887,1408749.42,58,26.5112991,0.287129,-0.104606
